chapter,page,question_number,answer_type,grading_option1,grading_option2,grading_option3,grading_option4,answer
1.1 두 점 사이의 거리,1,1,단답형,,,,,10
1.1 두 점 사이의 거리,1,2,객관식,,,,,③
1.1 두 점 사이의 거리,1,3,단답형,,,,,-4
1.1 두 점 사이의 거리,1,4,단답형,,,,,6
1.1 두 점 사이의 거리,2,5,단답형,,,,,3
1.1 두 점 사이의 거리,2,6,객관식,,,,,⑤
1.1 두 점 사이의 거리,2,7,객관식,,,,,②
1.1 두 점 사이의 거리,2,8,객관식,,,,,④
1.1 두 점 사이의 거리,3,9,객관식,,,,,①
1.1 두 점 사이의 거리,3,10,단답형,,,,,5
1.1 두 점 사이의 거리,3,11,객관식,,,,,④
1.1 두 점 사이의 거리,3,12,객관식,,,,,④
1.1 두 점 사이의 거리,4,13,단답형,,,,,63
1.1 두 점 사이의 거리,4,14,단답형,,,,,12
1.1 두 점 사이의 거리,5,15,객관식,,,,,③
1.1 두 점 사이의 거리,5,16,객관식,,,,,③
1.2 선분의 내분점과 삼각형의 무게중심,7,1,단답형,,,,,6
1.2 선분의 내분점과 삼각형의 무게중심,7,2,단답형,,,,,5
1.2 선분의 내분점과 삼각형의 무게중심,7,3,단답형,,,,,1
1.2 선분의 내분점과 삼각형의 무게중심,7,4,단답형,,,,,2
1.2 선분의 내분점과 삼각형의 무게중심,8,5,단답형,,,,,3
1.2 선분의 내분점과 삼각형의 무게중심,8,6,단답형,,,,,1
1.2 선분의 내분점과 삼각형의 무게중심,8,7,객관식,,,,,③
1.2 선분의 내분점과 삼각형의 무게중심,8,8,객관식,,,,,②
1.2 선분의 내분점과 삼각형의 무게중심,9,9,단답형,,,,,-11
1.2 선분의 내분점과 삼각형의 무게중심,9,10,객관식,,,,,④
1.2 선분의 내분점과 삼각형의 무게중심,9,11,단답형,,,,,29/2
1.2 선분의 내분점과 삼각형의 무게중심,9,12,객관식,,,,,③
1.2 선분의 내분점과 삼각형의 무게중심,10,13,객관식,,,,,①
1.2 선분의 내분점과 삼각형의 무게중심,10,14,객관식,,,,,②
1.2 선분의 내분점과 삼각형의 무게중심,10,15,단답형,,,,,1
1.2 선분의 내분점과 삼각형의 무게중심,10,16,단답형,,,,,32
1.2 선분의 내분점과 삼각형의 무게중심,11,17,객관식,,,,,①
1.2 선분의 내분점과 삼각형의 무게중심,11,18,객관식,,,,,①
1.2 선분의 내분점과 삼각형의 무게중심,11,19,단답형,,,,,3
1.2 선분의 내분점과 삼각형의 무게중심,11,20,단답형,,,,,15
1.2 선분의 내분점과 삼각형의 무게중심,12,21,단답형,,,,,4
1.2 선분의 내분점과 삼각형의 무게중심,12,22,단답형,,,,,7
2.1 직선의 방정식,13,1,객관식,,,,,②
2.1 직선의 방정식,13,2,객관식,,,,,①
2.1 직선의 방정식,13,3,객관식,,,,,③
2.1 직선의 방정식,13,4,객관식,,,,,⑤
2.1 직선의 방정식,14,5,객관식,,,,,④
2.1 직선의 방정식,14,6,객관식,,,,,③
2.1 직선의 방정식,14,7,객관식,,,,,③
2.1 직선의 방정식,14,8,객관식,,,,,⑤
2.1 직선의 방정식,15,9,객관식,,,,,④
2.1 직선의 방정식,15,10,객관식,,,,,②
2.1 직선의 방정식,15,11,단답형,,,,,5
2.1 직선의 방정식,15,12,단답형,,,,,2
2.1 직선의 방정식,16,13,객관식,,,,,②
2.1 직선의 방정식,16,14,객관식,,,,,④
2.1 직선의 방정식,16,15,객관식,,,,,③
2.1 직선의 방정식,16,16,단답형,,,,,2
2.1 직선의 방정식,17,17,단답형,,,,,16
2.1 직선의 방정식,17,18,단답형,,,,,4
2.1 직선의 방정식,17,19,단답형,,,,,169
2.1 직선의 방정식,17,20,단답형,,,,,4
2.1 직선의 방정식,18,21,단답형,,,,,3
2.1 직선의 방정식,18,22,객관식,,,,,④
2.1 직선의 방정식,18,23,객관식,,,,,④
2.1 직선의 방정식,18,24,객관식,,,,,①
2.1 직선의 방정식,19,25,객관식,,,,,③
2.1 직선의 방정식,19,26,단답형,,,,,3
2.1 직선의 방정식,19,27,객관식,,,,,②
2.1 직선의 방정식,19,28,객관식,,,,,⑤
2.1 직선의 방정식,20,29,객관식,,,,,②
2.1 직선의 방정식,20,30,단답형,,,,,4
2.2 직선의 위치 관계,21,1,단답형,,,,,3
2.2 직선의 위치 관계,21,2,단답형,,,,,-8/3
2.2 직선의 위치 관계,21,3,단답형,,,,,5
2.2 직선의 위치 관계,21,4,단답형,,,,,2
2.2 직선의 위치 관계,22,5,단답형,,,,,-1/2
2.2 직선의 위치 관계,22,6,단답형,,,,,1/4
2.2 직선의 위치 관계,22,7,단답형,,,,,2
2.2 직선의 위치 관계,22,8,단답형,,,,,20
2.2 직선의 위치 관계,23,9,단답형,,,,,5
2.2 직선의 위치 관계,23,10,객관식,,,,,①
2.2 직선의 위치 관계,23,11,단답형,,,,,15
2.2 직선의 위치 관계,23,12,단답형,,,,,8
2.2 직선의 위치 관계,24,13,단답형,,,,,32
2.2 직선의 위치 관계,24,14,단답형,,,,,10
2.2 직선의 위치 관계,24,15,객관식,,,,,④
2.2 직선의 위치 관계,24,16,단답형,,,,,3
2.3 점과 직선 사이의 거리,25,1,단답형,,,,,4
2.3 점과 직선 사이의 거리,25,2,객관식,,,,,①
2.3 점과 직선 사이의 거리,25,3,단답형,,,,,6/5
2.3 점과 직선 사이의 거리,25,4,단답형,,,,,1
2.3 점과 직선 사이의 거리,26,5,단답형,,,,,50
2.3 점과 직선 사이의 거리,26,6,단답형,,,,,13
2.3 점과 직선 사이의 거리,26,7,단답형,,,,,2
2.3 점과 직선 사이의 거리,26,8,단답형,,,,,-3
2.3 점과 직선 사이의 거리,27,9,단답형,,,,,10
2.3 점과 직선 사이의 거리,27,10,단답형,,,,,-2
2.3 점과 직선 사이의 거리,27,11,단답형,,,,,31
2.3 점과 직선 사이의 거리,27,12,단답형,,,,,10
2.3 점과 직선 사이의 거리,28,13,객관식,,,,,④
2.3 점과 직선 사이의 거리,28,14,객관식,,,,,④
3.1 원의 방정식,29,1,객관식,,,,,④
3.1 원의 방정식,29,2,객관식,,,,,④
3.1 원의 방정식,29,3,객관식,,,,,⑤
3.1 원의 방정식,29,4,객관식,,,,,④
3.1 원의 방정식,30,5,객관식,,,,,②
3.1 원의 방정식,30,6,객관식,,,,,②
3.1 원의 방정식,30,7,객관식,,,,,③
3.1 원의 방정식,30,8,객관식,,,,,④
3.1 원의 방정식,31,9,객관식,,,,,②
3.1 원의 방정식,31,10,객관식,,,,,⑤
3.1 원의 방정식,31,11,객관식,,,,,③
3.1 원의 방정식,31,12,객관식,,,,,②
3.1 원의 방정식,32,13,객관식,,,,,③
3.1 원의 방정식,32,14,객관식,,,,,①
3.1 원의 방정식,32,15,단답형,,,,,12
3.1 원의 방정식,32,16,단답형,,,,,10
3.1 원의 방정식,33,17,단답형,,,,,10
3.1 원의 방정식,33,18,단답형,,,,,7
3.1 원의 방정식,33,19,단답형,,,,,4
3.1 원의 방정식,33,20,단답형,,,,,-26
3.1 원의 방정식,34,21,객관식,,,,,③
3.1 원의 방정식,34,22,객관식,,,,,⑤
3.1 원의 방정식,34,23,단답형,,,,,-13
3.1 원의 방정식,34,24,단답형,,,,,-1
3.1 원의 방정식,35,25,단답형,,,,,17
3.1 원의 방정식,35,26,단답형,,,,,-11
3.1 원의 방정식,35,27,단답형,,,,,4
3.1 원의 방정식,35,28,단답형,,,,,6
3.1 원의 방정식,36,29,객관식,,,,,③
3.1 원의 방정식,36,30,단답형,,,,,10
3.1 원의 방정식,36,31,객관식,,,,,③
3.1 원의 방정식,36,32,객관식,,,,,④
3.2 원과 직선의 위치 관계,37,1,단답형,,,,,2
3.2 원과 직선의 위치 관계,37,2,단답형,,,,,1
3.2 원과 직선의 위치 관계,37,3,단답형,,,,,1
3.2 원과 직선의 위치 관계,37,4,단답형,,,,,1
3.2 원과 직선의 위치 관계,38,5,객관식,,,,,①
3.2 원과 직선의 위치 관계,38,6,객관식,,,,,③
3.2 원과 직선의 위치 관계,38,7,객관식,,,,,⑤
3.2 원과 직선의 위치 관계,38,8,객관식,,,,,④
3.2 원과 직선의 위치 관계,39,9,객관식,,,,,③
3.2 원과 직선의 위치 관계,39,10,단답형,,,,,12
3.2 원과 직선의 위치 관계,39,11,객관식,,,,,③
3.2 원과 직선의 위치 관계,39,12,단답형,,,,,16
"3.3 원의 접선의 방정식, 두 원의 교점을 지나는 직선과 원의 방정식",41,1,객관식,,,,,⑤
"3.3 원의 접선의 방정식, 두 원의 교점을 지나는 직선과 원의 방정식",41,2,객관식,,,,,②
"3.3 원의 접선의 방정식, 두 원의 교점을 지나는 직선과 원의 방정식",41,3,객관식,,,,,②
"3.3 원의 접선의 방정식, 두 원의 교점을 지나는 직선과 원의 방정식",41,4,객관식,,,,,②
"3.3 원의 접선의 방정식, 두 원의 교점을 지나는 직선과 원의 방정식",42,5,객관식,,,,,①
"3.3 원의 접선의 방정식, 두 원의 교점을 지나는 직선과 원의 방정식",42,6,객관식,,,,,⑤
"3.3 원의 접선의 방정식, 두 원의 교점을 지나는 직선과 원의 방정식",42,7,단답형,,,,,5/2
"3.3 원의 접선의 방정식, 두 원의 교점을 지나는 직선과 원의 방정식",42,8,단답형,,,,,-47
"3.3 원의 접선의 방정식, 두 원의 교점을 지나는 직선과 원의 방정식",43,9,객관식,,,,,④
"3.3 원의 접선의 방정식, 두 원의 교점을 지나는 직선과 원의 방정식",43,10,객관식,,,,,①
"3.3 원의 접선의 방정식, 두 원의 교점을 지나는 직선과 원의 방정식",43,11,단답형,,,,,-1
"3.3 원의 접선의 방정식, 두 원의 교점을 지나는 직선과 원의 방정식",43,12,객관식,,,,,⑤
"3.3 원의 접선의 방정식, 두 원의 교점을 지나는 직선과 원의 방정식",44,13,객관식,,,,,⑤
"3.3 원의 접선의 방정식, 두 원의 교점을 지나는 직선과 원의 방정식",44,14,객관식,,,,,⑤
"3.3 원의 접선의 방정식, 두 원의 교점을 지나는 직선과 원의 방정식",44,15,객관식,,,,,⑤
"3.3 원의 접선의 방정식, 두 원의 교점을 지나는 직선과 원의 방정식",44,16,단답형,,,,,2
4.1 평행이동,45,1,객관식,,,,,③
4.1 평행이동,45,2,객관식,,,,,②
4.1 평행이동,45,3,객관식,,,,,⑤
4.1 평행이동,45,4,객관식,,,,,①
4.1 평행이동,46,5,객관식,,,,,①
4.1 평행이동,46,6,객관식,,,,,⑤
4.1 평행이동,46,7,단답형,,,,,2
4.1 평행이동,46,8,단답형,,,,,-4
4.1 평행이동,47,9,단답형,,,,,4
4.1 평행이동,47,10,단답형,,,,,-9
4.1 평행이동,47,11,단답형,,,,,9
4.1 평행이동,47,12,단답형,,,,,1
4.1 평행이동,48,13,객관식,,,,,⑤
4.1 평행이동,48,14,단답형,,,,,5
4.2 대칭이동,49,1,객관식,,,,,③
4.2 대칭이동,49,2,객관식,,,,,⑤
4.2 대칭이동,49,3,객관식,,,,,②
4.2 대칭이동,49,4,객관식,,,,,①
4.2 대칭이동,50,5,객관식,,,,,⑤
4.2 대칭이동,50,6,객관식,,,,,①
4.2 대칭이동,50,7,객관식,,,,,④
4.2 대칭이동,50,8,객관식,,,,,②
4.2 대칭이동,51,9,객관식,,,,,④
4.2 대칭이동,51,10,객관식,,,,,③
4.2 대칭이동,51,11,객관식,,,,,①
4.2 대칭이동,51,12,객관식,,,,,②
4.2 대칭이동,52,13,객관식,,,,,⑤
4.2 대칭이동,52,14,객관식,,,,,②
4.2 대칭이동,52,15,객관식,,,,,②
4.2 대칭이동,52,16,객관식,,,,,③
4.2 대칭이동,53,17,단답형,,,,,10
4.2 대칭이동,53,18,객관식,,,,,①
4.2 대칭이동,53,19,단답형,,,,,1
4.2 대칭이동,53,20,단답형,,,,,-1
4.2 대칭이동,54,21,객관식,,,,,④
4.2 대칭이동,54,22,단답형,,,,,6
4.2 대칭이동,54,23,객관식,,,,,②
4.2 대칭이동,54,24,객관식,,,,,②
4.3 점과 직선에 대한 대칭이동,55,1,단답형,,,,,-2
4.3 점과 직선에 대한 대칭이동,55,2,단답형,,,,,7
4.3 점과 직선에 대한 대칭이동,55,3,객관식,,,,,④
4.3 점과 직선에 대한 대칭이동,55,4,단답형,,,,,3
4.3 점과 직선에 대한 대칭이동,56,5,단답형,,,,,3
4.3 점과 직선에 대한 대칭이동,56,6,객관식,,,,,③
4.3 점과 직선에 대한 대칭이동,56,7,객관식,,,,,③
4.3 점과 직선에 대한 대칭이동,56,8,객관식,,,,,①
4.3 점과 직선에 대한 대칭이동,57,9,단답형,,,,,9
4.3 점과 직선에 대한 대칭이동,57,10,객관식,,,,,④
4.3 점과 직선에 대한 대칭이동,57,11,객관식,,,,,④
4.3 점과 직선에 대한 대칭이동,57,12,단답형,,,,,23
1.1 집합의 뜻과 표현,59,1,객관식,,,,,②
1.1 집합의 뜻과 표현,59,2,객관식,,,,,②
1.1 집합의 뜻과 표현,59,3,객관식,,,,,⑤
1.1 집합의 뜻과 표현,59,4,객관식,,,,,⑤
1.1 집합의 뜻과 표현,60,5,객관식,,,,,④
1.1 집합의 뜻과 표현,60,6,객관식,,,,,⑤
1.1 집합의 뜻과 표현,60,7,객관식,,,,,②
1.1 집합의 뜻과 표현,60,8,객관식,,,,,③
1.1 집합의 뜻과 표현,61,9,객관식,,,,,②
1.1 집합의 뜻과 표현,61,10,객관식,,,,,③
1.1 집합의 뜻과 표현,61,11,객관식,,,,,①
1.1 집합의 뜻과 표현,61,12,객관식,,,,,⑤
1.1 집합의 뜻과 표현,62,13,객관식,,,,,②
1.1 집합의 뜻과 표현,62,14,객관식,,,,,①
1.1 집합의 뜻과 표현,62,15,단답형,,,,,0
1.1 집합의 뜻과 표현,62,16,단답형,,,,,8
1.1 집합의 뜻과 표현,63,17,객관식,,,,,⑤
1.1 집합의 뜻과 표현,63,18,객관식,,,,,③
1.1 집합의 뜻과 표현,63,19,객관식,,,,,④
1.1 집합의 뜻과 표현,63,20,객관식,,,,,⑤
1.1 집합의 뜻과 표현,64,21,단답형,,,,,5
1.1 집합의 뜻과 표현,64,22,단답형,,,,,4
1.1 집합의 뜻과 표현,64,23,객관식,,,,,⑤
1.1 집합의 뜻과 표현,64,24,객관식,,,,,④
1.1 집합의 뜻과 표현,65,25,객관식,,,,,②
1.1 집합의 뜻과 표현,65,26,객관식,,,,,⑤
1.1 집합의 뜻과 표현,65,27,객관식,,,,,⑤
1.1 집합의 뜻과 표현,65,28,객관식,,,,,⑤
1.2 집합 사이의 포함 관계,67,1,객관식,,,,,①
1.2 집합 사이의 포함 관계,67,2,객관식,,,,,②
1.2 집합 사이의 포함 관계,67,3,객관식,,,,,①
1.2 집합 사이의 포함 관계,67,4,객관식,,,,,①
1.2 집합 사이의 포함 관계,68,5,객관식,,,,,①
1.2 집합 사이의 포함 관계,68,6,객관식,,,,,①
1.2 집합 사이의 포함 관계,68,7,객관식,,,,,⑤
1.2 집합 사이의 포함 관계,68,8,객관식,,,,,④
1.2 집합 사이의 포함 관계,69,9,단답형,,,,,16
1.2 집합 사이의 포함 관계,69,10,단답형,,,,,64
1.2 집합 사이의 포함 관계,69,11,단답형,,,,,8
1.2 집합 사이의 포함 관계,69,12,단답형,,,,,64
1.2 집합 사이의 포함 관계,70,13,객관식,,,,,②
1.2 집합 사이의 포함 관계,70,14,객관식,,,,,④
1.2 집합 사이의 포함 관계,70,15,단답형,,,,,-1
1.2 집합 사이의 포함 관계,70,16,객관식,,,,,①
1.2 집합 사이의 포함 관계,71,17,단답형,,,,,-1
1.2 집합 사이의 포함 관계,71,18,단답형,,,,,1
1.2 집합 사이의 포함 관계,71,19,객관식,,,,,④
1.2 집합 사이의 포함 관계,71,20,객관식,,,,,③
1.2 집합 사이의 포함 관계,72,21,단답형,,,,,56
1.2 집합 사이의 포함 관계,72,22,단답형,,,,,48
1.2 집합 사이의 포함 관계,72,23,단답형,,,,,8
1.2 집합 사이의 포함 관계,72,24,단답형,,,,,4
2.1 집합의 연산,73,1,객관식,,,,,⑤
2.1 집합의 연산,73,2,객관식,,,,,③
2.1 집합의 연산,73,3,객관식,,,,,④
2.1 집합의 연산,73,4,객관식,,,,,②
2.1 집합의 연산,74,5,객관식,,,,,⑤
2.1 집합의 연산,74,6,객관식,,,,,②
2.1 집합의 연산,74,7,객관식,,,,,③
2.1 집합의 연산,74,8,객관식,,,,,②
2.1 집합의 연산,75,9,객관식,,,,,④
2.1 집합의 연산,75,10,객관식,,,,,①
2.1 집합의 연산,75,11,객관식,,,,,②
2.1 집합의 연산,75,12,객관식,,,,,④
2.1 집합의 연산,76,13,객관식,,,,,③
2.1 집합의 연산,76,14,객관식,,,,,③
2.1 집합의 연산,76,15,객관식,,,,,⑤
2.1 집합의 연산,76,16,객관식,,,,,⑤
2.1 집합의 연산,77,17,객관식,,,,,③
2.1 집합의 연산,77,18,객관식,,,,,④
2.1 집합의 연산,77,19,객관식,,,,,③
2.1 집합의 연산,77,20,객관식,,,,,②
2.1 집합의 연산,78,21,객관식,,,,,③
2.1 집합의 연산,78,22,단답형,,,,,14
2.1 집합의 연산,78,23,객관식,,,,,④
2.1 집합의 연산,78,24,객관식,,,,,②
2.1 집합의 연산,79,25,단답형,,,,,-4
2.1 집합의 연산,79,26,객관식,,,,,⑤
2.1 집합의 연산,79,27,객관식,,,,,④
2.1 집합의 연산,79,28,객관식,,,,,⑤
2.1 집합의 연산,80,29,객관식,,,,,④
2.1 집합의 연산,80,30,객관식,,,,,④
2.1 집합의 연산,80,31,단답형,,,,,64
2.1 집합의 연산,80,32,단답형,,,,,4
2.2 집합의 연산 법칙,81,1,객관식,,,,,⑤
2.2 집합의 연산 법칙,81,2,객관식,,,,,④
2.2 집합의 연산 법칙,81,3,객관식,,,,,③
2.2 집합의 연산 법칙,81,4,객관식,,,,,①
